Tax	D0-H	D0-P	D14-H	D14-P	D28-H	D28-P	Taxonomy
Bacteroidia	0.574199256769	0.639815961777	0.710655509770572	0.6361210405237	0.529509315670857	0.6500017695981	k__Bacteria;p__Bacteroidetes;c__Bacteroidia
Clostridia	0.400389311626	0.339692089896	0.205238010971571	0.2931268801982	0.288353515180714	0.2616563440099	k__Bacteria;p__Firmicutes;c__Clostridia
Gammaproteobacteria	0.00474252344718	0.00661829764643	0.000556159466087429	0.006182976464344	0.0905579290644096	0.007195186692625	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
Fusobacteriia	0.000247743762166	0	0.0425866471167814	0.018283489647837	0.0339307834264486	0.02260484869935	k__Bacteria;p__Fusobacteria;c__Fusobacteriia
Verrucomicrobiae	0.000141567864095	0.000176959830119	0.0103395100740714	0.026784639886749	0.0127461637636686	0.02021589099275	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae
Betaproteobacteria	0.0145460980357	0.00721996106884	0.0143337462396114	0.005262785347727	0.01480395378821	0.017186338701115	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
Deltaproteobacteria	0.00169881436914	0.0013448947089	0.00630988194251	0.005846752787124	0.0110473493945486	0.007520792780038	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
Erysipelotrichi	0.00127411077685	0.000601663422403	0.00617842606871286	0.005262785347726	0.00979851859341714	0.004600955583083	k__Bacteria;p__Firmicutes;c__Erysipelotrichi
Bacilli	0.00138028667492	0.00116793487878	0.000131455873802429	0.00055565386657285	0.00581945041332973	0.0030437090780411	k__Bacteria;p__Firmicutes;c__Bacilli
Coriobacteriia	0.000176959830119	0	0.000262911747604914	0.0005061051141393	0.00194655813130171	0.0037480092019117	k__Bacteria;p__Actinobacteria;c__Coriobacteriia
Alphaproteobacteria	7.07839320474e-05	0	0.00232070177212967	0.00048486993452435	0.00117299087392986	0.00089541674040048	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
Elusimicrobia	0	0.00141567864095	0	0	0	0	k__Bacteria;p__Elusimicrobia;c__Elusimicrobia
Actinobacteria	0.000814015218545	0.00130950274288	2.02239805849714e-05	0.00015572465050443	5.05599514624286e-05	0.00025836135197317	k__Bacteria;p__Actinobacteria;c__Actinobacteria
Synergistia	0	0.000212351796142	5.05599514624286e-06	7.07839320474e-06	1.01119902924857e-05	2.123517961421e-05	k__Bacteria;p__Synergistetes;c__Synergistia
Mollicutes	0.000176959830119	7.07839320474e-05	0	0	0	0	k__Bacteria;p__Tenericutes;c__Mollicutes
Methanobacteria	0	7.07839320474e-05	0	0	5.05599514624286e-06	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria
TM7-3	3.53919660237e-05	3.53919660237e-05	5.05599514624286e-06	0	0	0	k__Bacteria;p__TM7;c__TM7-3
Epsilonproteobacteria	0	0	0	7.07839320474e-06	1.01119902924857e-05	3.53919660237e-06	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria
Chloroplast	0	0	5.05599514624286e-06	0	5.05599514624286e-06	7.07839320474e-06	k__Bacteria;p__Cyanobacteria;c__Chloroplast
Deferribacteres	0	0	0	7.07839320474e-06	0	0	k__Bacteria;p__Deferribacteres;c__Deferribacteres
Other	0.00010617589809514	0.000247743761437658	0.00105164699052163	0.00140506105123828	0.000232575776825006	0.00104052380129127	Other
