Tax	D0-H	D0-P	D14-H	D14-P	D28-H	D28-P	Taxonomy
Bacteroides	0.307768536542	0.492691559016	0.302014814065714	0.3581242258007	0.205682938544186	0.3192426119271	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
Prevotella	0.214439922138	0.0734737214652	0.280344818869157	0.12568394974345	0.225654119372043	0.2278251636878	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
Parabacteroides	0.0181206866041	0.0330560962661	0.0992744646963857	0.12224385064586	0.0707889880425	0.04405945850291	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides
Faecalibacterium	0.102955229163	0.0833834719519	0.0300629471395729	0.0982056273226	0.0063048259473682	0.0173102105821579	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium
Megamonas	0.0390727304902	0.0236064413378	0.0400232575776514	0.025506989913286	0.0536693884773993	0.05665192001413	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas
Fusobacterium	0.000247743762166	0	0.0425866471167814	0.018283489647837	0.0339307834264486	0.02260484869935	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium
Ruminococcus	0.00980357458857	0.0404176251991	0.00408524407816429	0.0017554415147763	0.00365042849558829	0.002810122102283	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus
Phascolarctobacterium	0.00619359405415	0.00690143337462	0.0140253305356914	0.020077862325247	0.0356144298101443	0.02761989028489	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium
[Ruminococcus]	0.00336223677225	0.00527340293753	0.0115023889577086	0.00763758626791	0.0335616957808371	0.019426650150406	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]
Akkermansia	0.000141567864095	0.000176959830119	0.0103395100740714	0.026784639886749	0.0127461637636686	0.02021589099275	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia
Paraprevotella	0.00467173951513	0.0108653335693	0.00716434512223	0.013852415501679	0.005622266602622	0.022233233056099	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella
Lachnospira	0.0198195009733	0.0130242434967	0.000212351796142243	3.89311626261e-05	5.05599514624286e-06	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira
Dialister	0.0191824455849	0.00764466466112	0.0001668478398262	3.53919660237e-06	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister
