Tax	D0-H	D0-P	D14-H	D14-P	D28-H	D28-P	Taxonomy
Bacteroidetes	0.574199256769	0.639815961777	0.710655509770572	0.6361210405237	0.529509315670857	0.6500017695981	k__Bacteria;p__Bacteroidetes
Firmicutes	0.403043709078	0.341461688197	0.211547892914	0.2989453194125	0.303971484187429	0.269301008671	k__Bacteria;p__Firmicutes
Proteobacteria	0.0210582197841	0.0151831534242	0.0235204894203371	0.017784462926921	0.117592335111314	0.03280127411078	k__Bacteria;p__Proteobacteria
Fusobacteria	0.000247743762166	0	0.0425866471167814	0.018283489647837	0.0339307834264486	0.02260484869935	k__Bacteria;p__Fusobacteria
Verrucomicrobia	0.000141567864095	0.000176959830119	0.0103395100740714	0.026784639886749	0.0127461637636686	0.02021589099275	k__Bacteria;p__Verrucomicrobia
Actinobacteria	0.000990975048664	0.00130950274288	0.000283135728189771	0.0006618297646432	0.00199711808276457	0.0040063705538843	k__Bacteria;p__Actinobacteria
Elusimicrobia	0	0.00141567864095	0	0	0	0	k__Bacteria;p__Elusimicrobia
Synergistetes	0	0.000212351796142	5.05599514624286e-06	7.07839320474e-06	1.01119902924857e-05	2.123517961421e-05	k__Bacteria;p__Synergistetes
Tenericutes	0.000176959830119	7.07839320474e-05	0	0	0	0	k__Bacteria;p__Tenericutes
Euryarchaeota	0	7.07839320474e-05	0	0	5.05599514624286e-06	0	k__Archaea;p__Euryarchaeota
TM7	3.53919660237e-05	3.53919660237e-05	5.05599514624286e-06	0	0	0	k__Bacteria;p__TM7
Cyanobacteria	0	0	5.05599514624286e-06	0	5.05599514624286e-06	7.07839320474e-06	k__Bacteria;p__Cyanobacteria
Deferribacteres	0	0	0	7.07839320474e-06	0	0	k__Bacteria;p__Deferribacteres
Other	0.00010617589783235	0.000247743761590646	0.00105164699061011	0.00140506105124039	0.000232575776933364	0.0010405238013167	Other
