Tax	D0-H0	D0-P0	D14-H1	D14-H2	D14-H3	D14-H4	D14-H5	D14-H6	D14-H7	D14-P1	D14-P2	D14-P3	D14-P4	D14-P5	D14-P6	D14-P7	D14-P8	D14-P9	D14-P10	D28-H1	D28-H2	D28-H3	D28-H4	D28-H5	D28-H6	D28-H7	D28-P1	D28-P2	D28-P3	D28-P4	D28-P5	D28-P6	D28-P7	D28-P8	D28-P9	D28-P10	Taxonomy
Bacteroidaceae	0.307768536542	0.492691559016	0.413696690851	0.131622721642	0.344576181207	0.579508051672	0.204707131481	0.241550168112	0.198442753495	0.249796496195	0.214404530172	0.30805167227	0.371084763759	0.359653158733	0.403149884976	0.434294815077	0.535834365599	0.413413555123	0.291559016103	0.251141390904	0.17649973456	0.273579897363	0.109396566979	0.180534418687	0.381065298177	0.0675632631393	0.283737391612	0.253512652628	0.325570695452	0.225729959299	0.237338524155	0.632596000708	0.251636878429	0.437303132189	0.24147938418	0.303521500619	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae
Enterobacteriaceae	0.00318527694213	0.0041762519908	0.000318527694213	0.000247743762166	0.000247743762166	0.000424703592285	0.00109715094674	0.000884799150593	0.000176959830119	0.000990975048664	0.000212351796142	0.000141567864095	0.000743231286498	3.53919660237e-05	0.000460095558308	0.000247743762166	0.00173420633516	0.000106175898071	0.000495487524332	0.0244204565564	0.000920191116617	0.00672447354451	0.0230401698814	0.00962661475845	0.00222969385949	0.566908511768	0.00357458856839	0.00205273402938	0.00205273402938	0.000814015218545	0.000389311626261	0.000212351796142	7.07839320474e-05	0.000106175898071	0.000176959830119	0.000247743762166	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae
Prevotellaceae	0.214439922138	0.0734737214652	0.192178375509	0.435745885684	0.299699168289	0.0240665368961	0.390514953106	0.226650150416	0.393558662184	0.418014510706	0.271314811538	0.0625729959299	0.133675455672	0.133569279773	0.0218368430366	0.0258715271633	0.0136612988852	0.0694036453725	0.106919129358	0.246398867457	0.349637232348	0.053725004424	0.233091488232	0.500831711202	0.140258361352	0.0556361705893	0.274535480446	0.260060166342	0.246434259423	0.325252167758	0.263210051318	0.0	0.320934347903	0.159971686427	0.251920014157	0.175933463104	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
Ruminococcaceae	0.167050079632	0.164961953637	0.141603256061	0.0281366129889	0.0299416032561	0.0291983719696	0.0539019642541	0.0570872411962	0.020845867988	0.0841620952044	0.124367368607	0.253158732968	0.109007255353	0.19171827995	0.113289683242	0.173986904973	0.11909396567	0.11268801982	0.171792603079	0.0310741461688	0.0307910104406	0.0310741461688	0.017837550876	0.0643425942311	0.0247743762166	0.0114316050257	0.0269686781101	0.0288798442753	0.0277826933286	0.0426827110246	0.0391081224562	0.113714386834	0.0246328083525	0.0378694036454	0.151831534242	0.026827110246	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
Porphyromonadaceae	0.0181206866041	0.0330560962661	0.0866749247921	0.0447000530879	0.0596000707839	0.152893293222	0.0769067421695	0.208246328084	0.0667138559547	0.0789240842329	0.113714386834	0.0885860909574	0.106954521324	0.0768713502035	0.240346841267	0.161139621306	0.0668200318528	0.171969562909	0.117182799505	0.0291983719696	0.070146876659	0.157883560432	0.0792426119271	0.0525216775792	0.0952397805698	0.0124933640064	0.0321359051495	0.0215890992745	0.0527340293753	0.0434967262431	0.0637763227747	0.0414793841798	0.0550698991329	0.0460095558308	0.0452663245443	0.0390373385242	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
Lachnospiraceae	0.135940541497	0.114988497611	0.0779685011502	0.0789594761989	0.0866749247921	0.103096797027	0.0856131658114	0.0815430897186	0.0975756503274	0.043284374447	0.0598478145461	0.115165457441	0.0894354981419	0.0678817908335	0.0777207573881	0.0674216952752	0.11704123164	0.0900371615643	0.130596354627	0.0822509290391	0.0668200318528	0.100442399575	0.194938948859	0.1009378871	0.0729074500088	0.236913820563	0.0819677933109	0.131162626084	0.0692974694744	0.0737214652274	0.0709608918775	0.0640948504689	0.0580782162449	0.0539019642541	0.0915944080694	0.104087772076	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
Veillonellaceae	0.0672447354451	0.041797911874	0.0114316050257	0.155087595116	0.0415147761458	0.022367722527	0.0421518315342	0.0774730136259	0.0296938594939	0.0494779685012	0.092514599186	0.0460095558308	0.0513537427004	0.0811537780924	0.0232525216776	0.013378163157	0.0233940895417	0.0471774907096	0.028348964785	0.120049548752	0.0879136436029	0.100300831711	0.0837373916121	0.0225446823571	0.195292868519	0.0151477614581	0.0986020173421	0.129251459919	0.111059989382	0.1009378871	0.0807644664661	0.029835427358	0.0724827464166	0.049194832773	0.070146876659	0.100513183507	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae
Fusobacteriaceae	0.000247743762166	0.0	0.00502565917537	0.0535834365599	0.0609449654928	0.0258361351973	0.0270748540081	0.014900017696	0.110741461688	0.019465581313	0.0147584498319	0.0117855246859	0.0270394620421	0.0128826756326	0.0363121571403	0.00994514245266	0.0316050256592	0.010511413909	0.00852946381171	0.0336931516546	0.0491594408069	0.0610157494249	0.071633339232	0.00605202619005	0.00888338347195	0.00707839320474	0.0111130773314	0.0109715094674	0.0118209166519	0.0127764997346	0.05963546275	0.0108299416033	0.047814546098	0.035852061582	0.0128826756326	0.0123517961423	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae
[Paraprevotellaceae]	0.00828172004955	0.0108653335693	0.0111484692975	0.00155724650504	0.00187577419926	0.0117501327199	0.00711378517077	0.00906034330207	0.00775084055919	0.00201734206335	0.00545036276765	0.00799858432136	0.0326313926739	0.00120332684481	0.00297292514599	0.0297646434259	0.00615820208813	0.0180852946381	0.0322420810476	0.00279596531587	0.0117501327199	0.0154308971863	0.00102636701469	0.00587506635994	0.00251282958768	0.0	0.01797911874	0.016386480269	0.00789240842329	0.00789240842329	0.0219784109007	0.00120332684481	0.0300123871881	0.0310033622368	0.0158202088126	0.0721996106884	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]
Verrucomicrobiaceae	0.000141567864095	0.000176959830119	0.00704300123872	0.00435321182092	0.00994514245266	0.00959122279243	0.0142275703415	0.0195009732791	0.00771544859317	0.00983896655459	0.0259069191294	0.0444169173598	0.0197133250752	0.0186515660945	0.0301185630862	0.0288444523093	0.0369492125288	0.0215537073084	0.0318527694213	0.028419748717	0.00831711201557	0.0166342240311	0.0125641479384	0.00736152893293	0.0120686604141	0.00385772429658	0.0211290037162	0.0316404176252	0.0127411077685	0.0181560785702	0.0199964608034	0.013413555123	0.0128472836666	0.013413555123	0.0139798265794	0.044841620952	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae
