Tax	D0-H0	D0-P0	D14-H1	D14-H2	D14-H3	D14-H4	D14-H5	D14-H6	D14-H7	D14-P1	D14-P2	D14-P3	D14-P4	D14-P5	D14-P6	D14-P7	D14-P8	D14-P9	D14-P10	D28-H1	D28-H2	D28-H3	D28-H4	D28-H5	D28-H6	D28-H7	D28-P1	D28-P2	D28-P3	D28-P4	D28-P5	D28-P6	D28-P7	D28-P8	D28-P9	D28-P10	Taxonomy
Bacteroides	0.307768536542	0.492691559016	0.413696690851	0.131622721642	0.344576181207	0.579508051672	0.204707131481	0.241550168112	0.198442753495	0.249796496195	0.214404530172	0.30805167227	0.371084763759	0.359653158733	0.403149884976	0.434294815077	0.535834365599	0.413413555123	0.291559016103	0.251141390904	0.17649973456	0.273579897363	0.109396566979	0.180534418687	0.381065298177	0.0675632631393	0.283737391612	0.253512652628	0.325570695452	0.225729959299	0.237338524155	0.632596000708	0.251636878429	0.437303132189	0.24147938418	0.303521500619	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
Prevotella	0.214439922138	0.0734737214652	0.192178375509	0.435745885684	0.299699168289	0.0240665368961	0.390514953106	0.226650150416	0.393558662184	0.418014510706	0.271314811538	0.0625729959299	0.133675455672	0.133569279773	0.0218368430366	0.0258715271633	0.0136612988852	0.0694036453725	0.106919129358	0.246398867457	0.349637232348	0.053725004424	0.233091488232	0.500831711202	0.140258361352	0.0556361705893	0.274535480446	0.260060166342	0.246434259423	0.325252167758	0.263210051318	0.0	0.320934347903	0.159971686427	0.251920014157	0.175933463104	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
Parabacteroides	0.0181206866041	0.0330560962661	0.086497964962	0.0447000530879	0.0595646788179	0.152893293222	0.0764466466112	0.208175544151	0.0666430720227	0.0789240842329	0.113714386834	0.0885860909574	0.106954521324	0.0768713502035	0.240346841267	0.161139621306	0.0668200318528	0.171969562909	0.117112015572	0.0288444523093	0.070146876659	0.157423464873	0.0792426119271	0.0524508936471	0.0949212528756	0.0124933640064	0.0321359051495	0.0215890992745	0.0527340293753	0.0434967262431	0.0637763227747	0.0414793841798	0.0550698991329	0.0460095558308	0.0452663245443	0.0390373385242	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides
Faecalibacterium	0.102955229163	0.0833834719519	0.122350026544	0.00906034330207	0.00530879490356	0.00350380463635	0.035816669616	0.0325606087418	0.00184038223323	0.0531941249336	0.0906034330207	0.206476729782	0.0589276234295	0.147442930455	0.0518492302247	0.129746947443	0.0516014864626	0.0610157494249	0.13119801805	3.53919660237e-05	0.0	0.0	0.0	0.0386480268979	0.00541497080163	3.53919660237e-05	0.0	0.0	0.0	0.0	0.00028313572819	0.0635993629446	0.0	0.00509644310741	0.103556892585	0.000566271456379	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium
[Ruminococcus]	0.00336223677225	0.00527340293753	0.00314988497611	0.0172004954875	0.0076092726951	0.0275703415325	0.00237126172359	0.00860024774376	0.0140152185454	0.00173420633516	0.00360998053442	0.010511413909	0.0137320828172	0.0111838612635	0.00714917713679	0.0053795788356	0.0142275703415	0.00456556361706	0.00428242788887	0.0236772252699	0.00930808706424	0.0215890992745	0.019465581313	0.00658290568041	0.00718456910281	0.147124402761	0.0228278180853	0.0331622721642	0.0193240134489	0.02990621129	0.0121394443461	0.00640594585029	0.0196071491771	0.0106883737392	0.00906034330207	0.0311449301009	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]
Megamonas	0.0390727304902	0.0236064413378	0.00261900548575	0.14347903026	0.0201026367015	0.0145460980357	0.0214121394443	0.0693328614405	0.00867103167581	0.0314988497611	0.0575119447885	0.0220491948328	0.0350380463635	0.0525570695452	0.00389311626261	0.00371615643249	0.00934347903026	0.0287028844452	0.0107591576712	0.0406653689612	0.0654397451778	0.0614404530172	0.0662891523624	0.000141567864095	0.131056450186	0.0106529817731	0.0690851176783	0.100300831711	0.0840559193063	0.073155193771	0.049230224739	0.0150415855601	0.0406299769952	0.0331622721642	0.0447000530879	0.0571580251283	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas
Fusobacterium	0.000247743762166	0.0	0.00502565917537	0.0535834365599	0.0609449654928	0.0258361351973	0.0270748540081	0.014900017696	0.110741461688	0.019465581313	0.0147584498319	0.0117855246859	0.0270394620421	0.0128826756326	0.0363121571403	0.00994514245266	0.0316050256592	0.010511413909	0.00852946381171	0.0336931516546	0.0491594408069	0.0610157494249	0.071633339232	0.00605202619005	0.00888338347195	0.00707839320474	0.0111130773314	0.0109715094674	0.0118209166519	0.0127764997346	0.05963546275	0.0108299416033	0.047814546098	0.035852061582	0.0128826756326	0.0123517961423	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium
Phascolarctobacterium	0.00619359405415	0.00690143337462	0.0088125995399	0.0116085648558	0.0213413555123	0.00704300123872	0.0207396920899	0.00778623252522	0.020845867988	0.01797911874	0.0350026543975	0.023924969032	0.0163156963369	0.0285967085472	0.0193240134489	0.00966200672447	0.0140506105114	0.0184392142984	0.0174836312157	0.0793841797912	0.0224738984251	0.038860378694	0.0174482392497	0.022403114493	0.064236418333	0.00449477968501	0.0295168996638	0.0289506282074	0.0270040700761	0.0277826933286	0.0314988497611	0.0147584498319	0.0318527694213	0.0160325606087	0.025446823571	0.043355158379	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium
Paraprevotella	0.00467173951513	0.0108653335693	0.0111484692975	0.00155724650504	0.00187577419926	0.0116793487878	0.00711378517077	0.00902495133605	0.00775084055919	0.00201734206335	0.00545036276765	0.00799858432136	0.0326313926739	0.00120332684481	0.00297292514599	0.0297646434259	0.00615820208813	0.0180852946381	0.0322420810476	0.00279596531587	0.0117501327199	0.0154308971863	0.000990975048664	0.00587506635994	0.00251282958768	0.0	0.01797911874	0.016351088303	0.00789240842329	0.00789240842329	0.0219784109007	0.00120332684481	0.0300123871881	0.0310033622368	0.0158202088126	0.0721996106884	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella
Akkermansia	0.000141567864095	0.000176959830119	0.00704300123872	0.00435321182092	0.00994514245266	0.00959122279243	0.0142275703415	0.0195009732791	0.00771544859317	0.00983896655459	0.0259069191294	0.0444169173598	0.0197133250752	0.0186515660945	0.0301185630862	0.0288444523093	0.0369492125288	0.0215537073084	0.0318527694213	0.028419748717	0.00831711201557	0.0166342240311	0.0125641479384	0.00736152893293	0.0120686604141	0.00385772429658	0.0211290037162	0.0316404176252	0.0127411077685	0.0181560785702	0.0199964608034	0.013413555123	0.0128472836666	0.013413555123	0.0139798265794	0.044841620952	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia
Sutterella	0.0143691382056	0.00711378517077	0.00130950274288	0.0303663068483	0.0128118917006	0.00332684480623	0.0237126172359	0.00502565917537	0.0233586975757	0.00378694036454	0.00495487524332	0.00378694036454	0.00891877543798	0.00353919660237	0.00484869934525	0.00721996106884	0.00350380463635	0.00619359405415	0.00559193063175	0.00994514245266	0.0230401698814	0.00983896655459	0.041797911874	0.00672447354451	0.00382233233056	0.00814015218545	0.0100513183507	0.00619359405415	0.00990975048664	0.0101574942488	0.0246682003185	0.00927269509821	0.034400990975	0.0425765351265	0.016386480269	0.00785701645726	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella
Ruminococcus	0.00980357458857	0.0404176251991	0.00127411077685	0.00580428242789	0.00520261900549	0.00622898602017	0.00212351796142	0.00442399575296	0.00353919660237	0.00106175898071	0.00109715094674	0.000884799150593	0.00272518138383	0.00145107060697	0.00187577419926	0.00222969385949	0.00297292514599	0.00155724650504	0.00169881436914	0.00591045832596	0.00629976995222	0.00555653866572	0.00184038223323	0.00205273402938	0.00314988497611	0.000743231286498	0.00123871881083	0.00445938771899	0.00279596531587	0.00350380463635	0.00424703592285	0.00106175898071	0.00364537250044	0.00095558308264	0.00237126172359	0.00382233233056	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus
