Tax	D0-H0	D0-P0	D14-H1	D14-H2	D14-H3	D14-H4	D14-H5	D14-H6	D14-H7	D14-P1	D14-P2	D14-P3	D14-P4	D14-P5	D14-P6	D14-P7	D14-P8	D14-P9	D14-P10	D28-H1	D28-H2	D28-H3	D28-H4	D28-H5	D28-H6	D28-H7	D28-P1	D28-P2	D28-P3	D28-P4	D28-P5	D28-P6	D28-P7	D28-P8	D28-P9	D28-P10	Taxonomy
Bacteroidetes	0.574199256769	0.639815961777	0.739090426473	0.623889577066	0.722102282782	0.780711378517	0.709502742877	0.715554769067	0.683737391612	0.759370023005	0.616669615997	0.48402052734	0.659139975226	0.587081932401	0.680941426296	0.677862325252	0.631888161387	0.687913643603	0.57632277473	0.5559370023	0.628702884445	0.551689966378	0.427428773668	0.762626083879	0.642505751194	0.137674747832	0.679950451248	0.584179791187	0.68090603433	0.640983896655	0.619961068837	0.706246682003	0.688656874889	0.703592284551	0.571049371793	0.624491240488	k__Bacteria;p__Bacteroidetes
Proteobacteria	0.0210582197841	0.0151831534242	0.00527340293753	0.0347549106353	0.0182976464343	0.00736152893293	0.049194832773	0.0159617766767	0.0337993275526	0.0241727127942	0.0263670146877	0.00796319235534	0.0254822155371	0.0216598832065	0.0186161741285	0.016386480269	0.00906034330207	0.0116793487878	0.016457264201	0.0490886568749	0.0453371084764	0.0397097858786	0.0708901079455	0.0222615466289	0.0192178375509	0.576641302424	0.0304724827464	0.0184392142984	0.0274287736684	0.0239603609981	0.0579366483808	0.0157848168466	0.0549991152008	0.0529817731375	0.0252698637409	0.0207396920899	k__Bacteria;p__Proteobacteria
Firmicutes	0.403043709078	0.341461688197	0.242222615466	0.282180145107	0.186551052911	0.175933463104	0.198655105291	0.232100513184	0.163192355335	0.184392142984	0.315271633339	0.445691028137	0.266466112193	0.358945319412	0.233162272164	0.265616705008	0.288444523093	0.265439745178	0.366023712617	0.330702530526	0.262962307556	0.327623429482	0.41557246505	0.200990975049	0.316935055742	0.273013625907	0.251141390904	0.348186161741	0.258042824279	0.2954167404	0.238789594762	0.251743054327	0.193098566625	0.190798088834	0.374765528225	0.291028136613	k__Bacteria;p__Firmicutes
Fusobacteria	0.000247743762166	0.0	0.00502565917537	0.0535834365599	0.0609449654928	0.0258361351973	0.0270748540081	0.014900017696	0.110741461688	0.019465581313	0.0147584498319	0.0117855246859	0.0270394620421	0.0128826756326	0.0363121571403	0.00994514245266	0.0316050256592	0.010511413909	0.00852946381171	0.0336931516546	0.0491594408069	0.0610157494249	0.071633339232	0.00605202619005	0.00888338347195	0.00707839320474	0.0111130773314	0.0109715094674	0.0118209166519	0.0127764997346	0.05963546275	0.0108299416033	0.047814546098	0.035852061582	0.0128826756326	0.0123517961423	k__Bacteria;p__Fusobacteria
Verrucomicrobia	0.000141567864095	0.000176959830119	0.00704300123872	0.00435321182092	0.00994514245266	0.00959122279243	0.0142275703415	0.0195009732791	0.00771544859317	0.00983896655459	0.0259069191294	0.0444169173598	0.0197133250752	0.0186515660945	0.0301185630862	0.0288444523093	0.0369492125288	0.0215537073084	0.0318527694213	0.028419748717	0.00831711201557	0.0166342240311	0.0125641479384	0.00736152893293	0.0120686604141	0.00385772429658	0.0211290037162	0.0316404176252	0.0127411077685	0.0181560785702	0.0199964608034	0.013413555123	0.0128472836666	0.013413555123	0.0139798265794	0.044841620952	k__Bacteria;p__Verrucomicrobia
Actinobacteria	0.000990975048664	0.00130950274288	0.000176959830119	0.000106175898071	0.000176959830119	0.000495487524332	7.07839320474e-05	0.000743231286498	0.000212351796142	0.000353919660237	0.000495487524332	0.00237126172359	0.000566271456379	0.000353919660237	0.000530879490356	0.000460095558308	0.00116793487878	0.000106175898071	0.000212351796142	0.0019465581313	0.00481330737922	0.00307910104406	0.00191116616528	0.000212351796142	0.00028313572819	0.00173420633516	0.00428242788887	0.00569810652982	0.00721996106884	0.00757388072907	0.00318527694213	0.00120332684481	0.00162803043709	0.00237126172359	0.000884799150593	0.00601663422403	k__Bacteria;p__Actinobacteria
Elusimicrobia	0.0	0.00141567864095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Elusimicrobia
Synergistetes	0.0	0.000212351796142	0.0	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	0.0	0.0	3.53919660237e-05	0.0	3.53919660237e-05	0.0	3.53919660237e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000106175898071	7.07839320474e-05	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	k__Bacteria;p__Synergistetes
Tenericutes	0.000176959830119	7.07839320474e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Tenericutes
Euryarchaeota	0.0	7.07839320474e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Archaea;p__Euryarchaeota
Cyanobacteria	0.0	0.0	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	0.0	0.0	0.0	3.53919660237e-05	k__Bacteria;p__Cyanobacteria
Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Deferribacteres
TM7	3.53919660237e-05	3.53919660237e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.53919660237e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__TM7
Other	0.000106175898071	0.000247743762166	0.00116793487878	0.00113254291276	0.00198195009733	3.53919660237e-05	0.00123871881083	0.00123871881083	0.000566271456379	0.00240665368961	0.000530879490356	0.00375154839851	0.00152185453902	0.000424703592285	0.000318527694213	0.000884799150593	0.000849407184569	0.00276057334985	0.000601663422403	0.000141567864095	0.000707839320474	0.000176959830119	0	0.000495487524332	0.000106175898071	0	0.00191116616528	0.000884799150593	0.00173420633516	0.00102636701469	0.000495487524332	0.000778623252522	0.00095558308264	0.00095558308264	0.00116793487878	0.000495487524332	Other
